Time,DeviceId,Sensor,Value
1650641447,G,Temperature,23.20499992370605
1650641447,G,Humidity,35.84000015258789
1650641447,G,Pressure,100109.0
1650641447,G,Gas,2862.449951171875
1650641447,G,Accelerometer,0.0
1650641447,G,Light,1503.0
1650641447,G,MIC,3.0
1650641447,G,RSSI,83.0
1650641448,C,Temperature,22.97500038146973
1650641448,C,Humidity,35.63199996948242
1650641448,C,Pressure,100105.0
1650641448,C,Gas,3624.095947265625
1650641448,C,Accelerometer,0.0
1650641448,C,Light,1800.0
1650641448,C,MIC,3.0
1650641448,C,RSSI,79.0
1650641448,B,Temperature,23.114999771118164
1650641448,B,Humidity,35.76100158691406
1650641448,B,Pressure,100054.0
1650641448,B,Gas,4875.76416015625
1650641448,B,Accelerometer,0.0
1650641448,B,Light,330.0
1650641448,B,MIC,3.0
1650641448,B,RSSI,69.0
1650641449,F,Temperature,22.864999771118164
1650641449,F,Humidity,35.26599884033203
1650641449,F,Pressure,100129.0
1650641449,F,Gas,6129.85595703125
1650641449,F,Accelerometer,0.0
1650641449,F,Light,1641.0
1650641449,F,MIC,3.0
1650641449,F,RSSI,77.0
1650641454,D,Temperature,22.864999771118164
1650641454,D,Humidity,35.02899932861328
1650641454,D,Pressure,100120.0
1650641454,D,Gas,3749.779052734375
1650641454,D,Accelerometer,0.0
1650641454,D,Light,1046.0
1650641454,D,MIC,3.0
1650641454,D,RSSI,62.0
1650641455,E,Temperature,22.72500038146973
1650641455,E,Humidity,35.54399871826172
1650641455,E,Pressure,100092.0
1650641455,E,Gas,3898.64990234375
1650641455,E,Accelerometer,0.0
1650641455,E,Light,4186.0
1650641455,E,MIC,3.0
1650641455,E,RSSI,63.0
1650641455,A,Temperature,22.96500015258789
1650641455,A,Humidity,35.5629997253418
1650641455,A,Pressure,100088.0
1650641455,A,Gas,4057.7119140625
1650641455,A,Accelerometer,0.0
1650641455,A,Light,2594.0
1650641455,A,MIC,3.0
1650641455,A,RSSI,82.0
1650641456,H,Temperature,24.47500038146973
1650641456,H,Humidity,31.06999969482422
1650641456,H,Pressure,100106.0
1650641456,H,Gas,3500.721923828125
1650641456,H,Accelerometer,0.0
1650641456,H,Light,3412.0
1650641456,H,MIC,3.0
1650641456,H,RSSI,84.0
1650641457,G,Temperature,23.20499992370605
1650641457,G,Humidity,35.83100128173828
1650641457,G,Pressure,100117.0
1650641457,G,Gas,2841.97412109375
1650641457,G,Accelerometer,0.0
1650641457,G,Light,1502.0
1650641457,G,MIC,3.0
1650641457,G,RSSI,83.0
1650641458,C,Temperature,22.97500038146973
1650641458,C,Humidity,35.617000579833984
1650641458,C,Pressure,100109.0
1650641458,C,Gas,3628.535888671875
1650641458,C,Accelerometer,0.0
1650641458,C,Light,1806.0
1650641458,C,MIC,3.0
1650641458,C,RSSI,79.0
1650641458,B,Temperature,23.114999771118164
1650641458,B,Humidity,35.76900100708008
1650641458,B,Pressure,100056.0
1650641458,B,Gas,4887.47119140625
1650641458,B,Accelerometer,0.0
1650641458,B,Light,330.0
1650641458,B,MIC,3.0
1650641458,B,RSSI,76.0
1650641459,F,Temperature,22.864999771118164
1650641459,F,Humidity,35.29100036621094
1650641459,F,Pressure,100129.0
1650641459,F,Gas,6146.5458984375
1650641459,F,Accelerometer,0.0
1650641459,F,Light,1653.0
1650641459,F,MIC,3.0
1650641459,F,RSSI,77.0
1650641464,D,Temperature,22.875
1650641464,D,Humidity,35.011001586914055
1650641464,D,Pressure,100122.0
1650641464,D,Gas,3733.9970703125
1650641464,D,Accelerometer,0.0
1650641464,D,Light,1039.0
1650641464,D,MIC,3.0
1650641464,D,RSSI,62.0
1650641465,E,Temperature,22.72500038146973
1650641465,E,Humidity,35.55599975585937
1650641465,E,Pressure,100090.0
1650641465,E,Gas,3912.051025390625
1650641465,E,Accelerometer,0.0
1650641465,E,Light,4177.0
1650641465,E,MIC,3.0
1650641465,E,RSSI,63.0
1650641465,A,Temperature,22.96500015258789
1650641465,A,Humidity,35.56100082397461
1650641465,A,Pressure,100088.0
1650641465,A,Gas,4069.827880859375
1650641465,A,Accelerometer,0.0
1650641465,A,Light,2593.0
1650641465,A,MIC,3.0
1650641465,A,RSSI,82.0
1650641466,H,Temperature,24.47500038146973
1650641466,H,Humidity,31.090999603271484
1650641466,H,Pressure,100105.0
1650641466,H,Gas,3527.77392578125
1650641466,H,Accelerometer,0.0
1650641466,H,Light,3412.0
1650641466,H,MIC,3.0
1650641466,H,RSSI,84.0
1650641467,G,Temperature,23.20499992370605
1650641467,G,Humidity,35.82899856567383
1650641467,G,Pressure,100117.0
1650641467,G,Gas,2842.843994140625
1650641467,G,Accelerometer,0.0
1650641467,G,Light,1503.0
1650641467,G,MIC,3.0
1650641467,G,RSSI,83.0
1650641468,C,Temperature,22.97500038146973
1650641468,C,Humidity,35.625999450683594
1650641468,C,Pressure,100109.0
1650641468,C,Gas,3630.778076171875
1650641468,C,Accelerometer,0.0
1650641468,C,Light,1818.0
1650641468,C,MIC,3.0
1650641468,C,RSSI,83.0
1650641468,B,Temperature,23.114999771118164
1650641468,B,Humidity,35.73099899291992
1650641468,B,Pressure,100052.0
1650641468,B,Gas,4892.39794921875
1650641468,B,Accelerometer,0.0
1650641468,B,Light,330.0
1650641468,B,MIC,3.0
1650641468,B,RSSI,76.0
1650641469,F,Temperature,22.864999771118164
1650641469,F,Humidity,35.28300094604492
1650641469,F,Pressure,100129.0
1650641469,F,Gas,6145.4169921875
1650641469,F,Accelerometer,0.0
1650641469,F,Light,1651.0
1650641469,F,MIC,3.0
1650641469,F,RSSI,82.0
1650641474,D,Temperature,22.875
1650641474,D,Humidity,35.02000045776367
1650641474,D,Pressure,100120.0
1650641474,D,Gas,3750.881103515625
1650641474,D,Accelerometer,0.0
1650641474,D,Light,1030.0
1650641474,D,MIC,3.0
1650641474,D,RSSI,62.0
1650641475,E,Temperature,22.72500038146973
1650641475,E,Humidity,35.577999114990234
1650641475,E,Pressure,100090.0
1650641475,E,Gas,3913.7451171875
1650641475,E,Accelerometer,0.0
1650641475,E,Light,4170.0
1650641475,E,MIC,3.0
1650641475,E,RSSI,63.0
1650641475,A,Temperature,22.96500015258789
1650641475,A,Humidity,35.55400085449219
1650641475,A,Pressure,100086.0
1650641475,A,Gas,4070.277099609375
1650641475,A,Accelerometer,0.0
1650641475,A,Light,2586.0
1650641475,A,MIC,3.0
1650641475,A,RSSI,82.0
1650641477,H,Temperature,24.46500015258789
